Fecha;TRAMO HORARIO;Nm Tot Victimas;DISTRITO;Lugar;Numero;Tipo Accidente;Tipo Vehiculo
29/01/2018 0:00;DE 21:00 A 21:59;1;SALAMANCA                     ;CALLE DE HERMOSILLA - CALLE DE NUÑEZ DE BALBOA                                                      ;;CAÍDA BICICLETA                         ;BICICLETA                               
30/01/2018 0:00;DE 9:00 A 9:59;1;HORTALEZA                     ;AVENIDA DE SAN LUIS                                                                             ;53;COLISIÓN DOBLE                          ;BICICLETA                               
30/01/2018 0:00;DE 13:00 A 13:59;1;CENTRO                        ;CALLE DEL ESPEJO                                                                                ;12;CAÍDA BICICLETA                         ;BICICLETA                               
31/01/2018 0:00;DE 18:00 A 18:59;1;MORATALAZ                     ;CALLE  ARROYO DE LA MEDIA LEGUA                                                                 ;8;CAÍDA BICICLETA                         ;BICICLETA                               
01/02/2018 0:00;DE 8:00 A 8:59;1;SAN BLAS                      ;CALLE DE AMPOSTA - CALLE DE POBLADURA DEL VALLE                                                     ;;COLISIÓN DOBLE                          ;BICICLETA                               
01/02/2018 0:00;DE 15:00 A 15:59;1;CENTRO                        ;PLAZA DE TIRSO DE MOLINA                                                                        ;12;COLISIÓN DOBLE                          ;BICICLETA                               
01/02/2018 0:00;DE 19:00 A 19:59;1;VICALVARO                     ;CALLE DE CORDEL DE PAVONES                                                                      ;44;COLISIÓN DOBLE                          ;BICICLETA                               
02/02/2018 0:00;DE 13:00 A 13:59;1;CHAMBERI                      ;GLORIETA DE CUATRO CAMINOS                                                                      ;1;COLISIÓN DOBLE                          ;BICICLETA                               
02/02/2018 0:00;DE 19:00 A 19:59;1;SALAMANCA                     ;CALLE DE VILLANUEVA                                                                             ;2;COLISIÓN DOBLE                          ;BICICLETA                               
02/02/2018 0:00;DE 20:00 A 20:59;1;CHAMBERI                      ;CALLE DE ELOY GONZALO - GLORIETA DE QUEVEDO                                                         ;;CAÍDA BICICLETA                         ;BICICLETA                               
04/02/2018 0:00;DE 5:00 A 5:59;1;SALAMANCA                     ;CALLE DE VELAZQUEZ                                                                              ;30;COLISIÓN DOBLE                          ;BICICLETA                               
05/02/2018 0:00;DE 17:00 A 17:59;2;RETIRO                        ;AVENIDA DE LA ALBUFERA - AVENIDA DE LA CIUDAD DE BARCELONA                                          ;;COLISIÓN DOBLE                          ;BICICLETA                               
06/02/2018 0:00;DE 9:00 A 9:59;1;SALAMANCA                     ;CALLE DE ALCALA - CALLE DE O'DONNELL                                                                ;;COLISIÓN DOBLE                          ;BICICLETA                               
06/02/2018 0:00;DE 12:00 A 12:59;1;CHAMBERI                      ;CALLE DE ALMAGRO                                                                                ;22;CAÍDA BICICLETA                         ;BICICLETA                               
06/02/2018 0:00;DE 17:00 A 17:59;1;CIUDAD LINEAL                 ;CALLE DE GARCIA QUINTANILLA - CALLE DEL GENERAL ARANAZ                                              ;;CAÍDA BICICLETA                         ;BICICLETA                               
07/02/2018 0:00;DE 19:00 A 19:59;1;CENTRO                        ;PASEO DEL PRADO - PLAZA DE CANOVAS DEL CASTILLO                                                     ;;COLISIÓN DOBLE                          ;BICICLETA                               
08/02/2018 0:00;DE 18:00 A 18:59;1;SALAMANCA                     ;PASEO DE LA CASTELLANA                                                                          ;48;COLISIÓN DOBLE                          ;BICICLETA                               
